	Country.Name	FSI	gdp_growth	employment	water_access	real_interest_rate	energy_use	death_rate	internet_users	net_flow_ext_debt	tax_rate	infant_deaths	electro_access	import_good_serv	urban_population	school_primary_enr	sanit_facil	tax_income	sci_articles	employment
40	Costa Rica	52.0	4.954320526776041	58.0999984741211	97.2	8.45668988557154	1022.2010867114	4.17	36.5	1022680000.0	58.0	678	98.0	40.927497518877104	71.734	109.458793640137	93.9	748093582768.09	102.1	58.0999984741211
41	Cuba	79.4	2.38833291202931	55.2000007629395	93.5	5.02405073343827	1017.75934188252	7.449	15.9	4168681745.762712	46.589940828402376	584	100.0	17.7225540276271	76.597	102.491050720215	91.7	1353034743860.0757	195.0	55.2000007629395
42	Cyprus	68.0	1.3906440575121497	60.2999992370605	100.0	5.02405073343827	2213.09431586005	6.858	52.99	4168681745.762712	22.3	40	100.0	53.2844356641735	67.551	101.62432861328101	100.0	1799000000.0	211.6	60.2999992370605
43	Czech Republic	41.5	2.2950891154049198	54.0999984741211	100.0	7.44617233257403	4248.4144691681895	10.2	68.82	4168681745.762712	48.0	408	100.0	63.077848803548896	73.255	105.752807617188	99.1	173981000000.0	4163.5	54.0999984741211
44	Germany	35.4	4.09076951228067	55.0999984741211	100.0	5.02405073343827	4004.3531103454206	10.5	82.0	4168681745.762712	47.0	2313	100.0	37.112436049716294	74.291	101.51911926269501	99.2	108300000000.0	45337.8	55.0999984741211
45	Djibouti	81.9	4.45019296087152	58.538823621413286	89.2	22.5521966911794	2572.608479264877	9.245	6.5	6630000.0	37.8	1314	49.7	47.216126759295705	76.99600000000001	105.25319197518485	48.4	1353034743860.0757	1.9	58.538823621413286
46	Denmark	22.9	1.6251358849883797	59.5	100.0	5.02405073343827	3510.79721029482	9.8	88.72	4168681745.762712	28.1	219	100.0	43.6057285217961	86.795	99.5539932250977	99.6	278229000000.0	5638.7	59.5
47	Dominican Republic	76.8	8.3021528020018	56.7999992370605	85.9	6.14122151341711	718.585392599684	5.985	31.4	1695168000.0	40.1	6047	98.0	32.8999336669202	73.752	106.990333557129	82.1	53643540853.38	6.9	56.7999992370605
48	Algeria	81.3	3.60016906640861	38.7999992370605	85.7	-6.992595449097531	1113.1622546121	5.8020000000000005	12.5	-228777000.0	73.0	21820	99.3	31.4221141747825	67.52600000000001	113.322723388672	86.6	2622100000000.0	598.3	38.7999992370605
49	Ecuador	81.7	3.52529866894027	64.599998474121	84.9	5.02405073343827	897.3724399539011	4.955	29.03	1135047000.0	35.3	7085	97.0	32.4082827425812	62.69	114.280830383301	80.7	1353034743860.0757	66.2	64.599998474121
